model,cv_f1_macro,accuracy,precision_weighted,recall_weighted,f1_weighted,precision_macro,recall_macro,f1_macro
baseline_rf,,0.7572083333333334,0.7574773093041123,0.7572083333333334,0.7572878751105176,0.39684323223943035,0.3934670230477586,0.395097543971491
RandomForest + SMOTE,0.41777764548325064,0.7625416666666667,0.7639420261512554,0.7625416666666667,0.7632190660463601,0.38577712537733233,0.3903735979938604,0.3877276960776354
RandomForest + SMOTE (selected),0.41777764548325064,0.7625416666666667,0.7639420261512554,0.7625416666666667,0.7632190660463601,0.38577712537733233,0.3903735979938604,0.3877276960776354
